player_id,games,minutes,off_rebs,def_rebs,off_rebchances,def_rebchances
309,106,2936.835,34,272,2677,2647
242,10,206.7266667,3,29,153,180
187,180,3519.321667,71,392,3108,3150
168,22,326.08,15,14,315,290
43,93,2525.305,27,254,2279,2294
1014,7,116.68,1,8,97,101
154,27,376.005,37,49,380,354
215,174,3200.775,300,558,2926,2829
371,112,1933.67,195,394,1736,1763
37,108,2072.026667,162,283,1823,1903
247,185,3937.513333,50,401,3683,3626
139,228,5083.221667,343,843,4719,4598
199,1,9.65,0,1,6,11
14,133,4258.761667,56,335,3857,3881
55,236,6481.016667,102,495,5970,6023
57,196,3694.7,310,611,3340,3410
382,191,5166.186667,483,1179,4674,4655
269,59,1106.46,22,65,1039,988
271,134,2587.91,42,236,2383,2278
962,9,64.82333333,5,8,47,47
143,66,1318.243333,23,130,1214,1210
328,2,15.89,0,0,14,15
873,13,115.035,6,16,104,92
296,14,174.9333333,4,10,159,159
289,39,791.3833333,28,98,740,670
225,242,8088.288333,628,1476,7242,7329
972,1,5.1,0,0,4,4
316,108,2120.063333,26,182,1958,1930
95,197,5514.438333,231,937,4981,5014
314,241,7171.978333,34,483,6366,6784
418,176,3338.318333,104,514,2897,3052
48,28,501.5066667,15,62,419,402
41,195,5730.853333,174,824,5215,5331
387,251,8911.855,191,1036,8000,7948
1003,2,53.12666667,0,0,33,46
152,25,437.92,7,30,400,337
442,33,718.2083333,9,63,684,662
105,29,356.925,34,78,318,335
323,29,130.8283333,1,15,131,127
165,274,8453.133333,376,1278,7706,7546
59,236,7176.6,458,1266,6395,6633
375,50,567.5166667,43,64,501,507
278,47,714.8533333,82,126,661,655
171,179,3713.135,62,343,3394,3275
378,192,6677.011667,123,1347,5587,6635
227,264,8220.946667,432,1402,7273,7686
702,171,5425.591667,73,439,4792,4670
180,247,6374.016667,181,737,5749,5807
67,192,3729.516667,122,342,3517,3477
519,85,1508.835,120,210,1347,1365
368,108,2613.398333,285,573,2410,2430
295,105,1627.675,64,307,1467,1496
268,241,7446.213333,502,1054,6669,6666
403,94,2145.54,36,240,1938,1978
214,137,2623.738333,32,194,2474,2350
238,225,5193.346667,53,448,4752,4763
280,153,2476.878333,133,375,2171,2150
28,200,4148.54,96,493,3731,3620
190,158,4518.741667,167,637,4090,4113
70,141,2475.2,49,173,2246,2243
76,122,3344.986667,31,286,2957,2979
886,53,904.5916667,89,137,815,807
97,55,945.2933333,82,140,863,846
319,41,453.4233333,20,55,403,423
138,49,771.3933333,34,105,657,676
131,244,7793.395,257,1477,6795,6770
307,112,2045.825,40,191,1820,1796
77,50,362.0416667,35,49,350,342
352,85,1714.536667,28,168,1563,1528
241,217,4190.481667,135,557,3866,3695
740,4,71.36833333,2,6,67,73
313,107,1992.176667,105,353,1817,1796
27,56,1477.201667,24,139,1278,1343
68,156,4426.028333,112,374,4034,4242
290,243,8582.32,418,1805,8038,8143
258,201,6409.466667,382,1639,5654,5626
189,165,5013.79,122,757,4529,4481
192,212,6704.555,77,443,6054,6186
79,220,5082.491667,60,356,4683,4600
503,233,6760.255,392,966,6250,6594
175,112,2630.98,38,216,2335,2325
354,74,1326.323333,90,261,1146,1179
504,97,1501.166667,23,186,1275,1440
499,224,5395.648333,538,607,5065,5104
587,160,2187.601667,158,413,1982,1934
204,110,2417.643333,176,397,2256,2244
370,204,2646.193333,297,560,2357,2648
329,54,897.3033333,104,186,852,847
243,73,1020.41,91,220,900,963
8,153,4236.673333,255,504,3898,3706
62,201,5540.821667,81,453,4955,4932
130,175,3117.116667,324,624,2852,2839
103,269,7772.756667,488,1492,6831,7423
110,213,6929.768333,190,1008,6394,6373
256,212,5857.858333,147,528,5207,5408
80,87,1387.901667,67,166,1287,1236
876,22,480.7233333,42,84,449,415
200,33,347.0216667,44,80,332,301
614,106,2700.566667,30,249,2298,2354
127,248,7814.231667,919,2493,6987,7361
162,92,1815.963333,211,462,1716,1668
133,166,3763.126667,122,382,3286,3507
342,24,300.6833333,5,31,321,274
128,4,50.61333333,1,5,47,34
229,206,6547.998333,157,590,5823,5999
308,10,254.375,3,30,208,208
978,8,46.31,2,9,36,45
231,112,1960.69,41,124,1814,1836
462,29,162.0466667,0,10,152,143
320,12,108.7183333,0,11,101,92
971,5,6.66,1,0,7,7
627,179,6146.681667,308,1113,5584,5534
877,285,10494.10167,249,1545,9435,9490
4,141,3864.67,94,501,3460,3538
398,221,6813.558333,150,794,5942,6176
96,240,8173.691667,161,999,7005,7998
92,79,1764.221667,179,342,1683,1558
137,253,8868.821667,196,1033,7834,7905
394,86,1818.518333,28,172,1726,1638
331,107,2580.103333,56,275,2424,2351
881,65,740.4016667,85,107,641,605
897,5,54.41666667,1,13,61,57
169,15,126.6566667,6,23,113,112
410,183,4057.828333,131,614,3612,3692
196,182,6120.645,148,634,5660,5889
358,112,3023.35,52,219,2765,2742
326,224,6627.776667,75,571,5929,6120
395,183,5515.708333,88,378,4798,4924
344,140,2755.97,89,491,2387,2483
514,214,5637.34,478,848,5161,5162
53,201,5421.16,239,742,4906,4877
89,191,4671.931667,59,433,4408,4199
413,46,835.3916667,16,87,801,711
259,6,41.53333333,1,9,28,35
963,40,230.2633333,23,40,212,198
480,166,3678.251667,147,485,3330,3341
141,20,108.7166667,9,21,95,96
118,225,3494.055,213,617,3178,3224
894,106,1834.62,20,171,1726,1592
218,188,5336.62,235,673,4910,4919
159,73,1224.438333,47,117,1132,1074
65,61,1001.47,32,131,883,890
882,32,460.9716667,10,42,416,410
377,269,7168.606667,183,835,6323,6599
875,14,177.9533333,2,15,154,145
262,245,5447.418333,73,377,5041,4942
898,9,66.61833333,1,4,58,65
140,204,4901.76,89,434,4466,4400
975,3,20.93333333,0,2,20,14
107,217,6878.72,94,575,6323,6312
82,65,1096.78,45,117,1049,995
895,11,92.00166667,5,5,95,73
250,156,5656.465,103,583,5112,5095
181,213,5462.431667,132,827,5175,5164
85,209,5623.516667,530,1069,4850,5090
212,186,3639.148333,91,444,3438,3285
491,153,5035.305,369,1346,4374,4655
321,78,683.2566667,57,86,606,594
341,170,3800.911667,401,774,3446,3287
125,206,5357.048333,301,1061,5129,5018
124,200,6488.461667,143,881,5667,5838
325,194,6780.97,185,1110,6273,6315
885,122,1387.033333,131,328,1235,1207
1002,8,76.15,2,2,69,58
22,211,4048.271667,517,1009,3814,3702
61,240,4911.186667,213,649,4371,4295
245,17,298.485,35,53,280,284
197,103,1454.056667,25,151,1315,1323
51,85,1124.86,82,196,1030,1029
88,209,6592.43,161,796,6010,6295
372,197,6137.946667,139,502,5620,5651
373,29,396.27,6,38,373,385
276,11,99.575,0,5,74,90
283,156,3145.558333,281,600,2775,2846
603,89,1141.88,33,117,1014,1023
985,10,142.9866667,3,12,129,130
60,51,1235.02,16,106,1084,1027
903,1,0.266666667,0,0,0,0
298,197,5390.885,718,1712,4880,5085
383,180,3896.838333,199,659,3570,3481
891,10,40.32,1,4,39,40
305,157,3324.256667,94,547,3008,2982
40,24,270.33,36,38,248,236
888,34,276.6383333,21,45,259,267
232,66,1317.253333,13,138,1187,1198
281,125,2511.893333,248,430,2258,2333
25,45,928.0116667,9,80,826,789
18,152,3628.391667,57,404,3375,3338
431,203,4953.488333,65,516,4752,4408
240,6,67.28333333,6,17,59,61
890,33,572.31,15,78,492,522
986,2,5.65,1,0,10,1
400,153,3150.231667,107,278,2906,2780
900,12,90.16666667,9,17,82,79
573,205,7021.448333,158,600,6200,6445
100,97,1786.595,59,253,1614,1647
275,254,5711.781667,815,1333,5176,5161
120,235,6546.831667,821,1250,5832,5845
823,228,5696.705,645,1522,5073,5232
191,221,4242.561667,432,965,3857,3846
741,120,3179.475,56,304,2932,2817
29,242,8375.768333,145,791,7856,7541
1,26,224.0233333,3,14,221,196
150,266,9170.053333,125,844,7808,8946
84,157,3464.19,78,471,3094,3006
367,226,6106.78,268,987,5495,5489
384,231,6875.95,225,982,6419,6203
470,206,6884.248333,258,1174,6079,6323
5,209,6455.763333,511,1638,6047,5745
226,175,4042.156667,116,429,3504,3766
497,233,7871.611667,240,1313,7210,7117
147,74,1428.206667,104,208,1282,1274
81,143,3156.201667,416,649,2958,2726
615,182,4449.841667,172,902,4054,4182
161,184,5269.258333,115,462,4975,4689
640,21,326.885,11,25,287,248
411,12,186.6766667,4,30,167,141
49,61,1379.096667,10,112,1223,1201
15,269,6357.646667,130,604,5550,5681
174,212,7705.915,340,911,6870,7209
494,257,7313.741667,130,774,6496,6693
980,2,8.716666667,0,1,8,7
235,101,1605.416667,43,148,1539,1460
487,148,2967.211667,48,259,2599,2562
471,128,3283.196667,67,422,3024,2906
63,121,2145.731667,121,415,2008,1914
254,21,181.3466667,4,13,178,153
636,166,2970.815,57,397,2717,2726
968,1,2.016666667,0,0,2,2
405,5,29.94333333,0,1,21,45
919,113,1938.141667,209,331,1745,1728
422,70,907.14,16,94,830,803
201,193,4399.356667,94,306,4052,4188
93,171,4962.931667,83,346,4566,4500
925,19,282.9516667,9,24,263,259
1018,1,7.316666667,1,1,8,7
933,14,65.4,0,14,67,62
1019,1,20.91,0,1,17,21
32,13,147.5633333,11,33,137,124
753,70,1066.443333,16,101,966,1027
912,33,299.0933333,16,45,279,279
260,194,6921.935,482,1626,6333,6557
173,166,3923.42,241,611,3698,3578
723,220,7724.131667,188,693,6970,6863
119,154,4319.52,59,359,3892,3991
155,92,1234.15,184,298,1226,1065
366,236,8585.971667,148,880,8157,7972
709,225,5738.116667,65,612,5331,5135
83,230,7367.205,1083,2257,6940,6500
745,253,8346.015,301,987,7611,7606
728,250,6300.273333,89,450,5782,5655
172,168,2765.061667,124,556,2564,2549
596,202,4311.155,109,684,3987,3879
871,28,389.4533333,2,23,312,329
322,160,3071.521667,275,524,2606,2781
167,191,4407.89,252,494,4089,4081
374,148,2218.67,171,389,1988,2108
21,79,1844.021667,107,316,1727,1750
116,62,750.1733333,36,138,686,665
360,204,6511.826667,88,515,6044,5791
964,77,1840.308333,182,410,1746,1689
402,42,411.9383333,5,42,388,392
210,17,104.9716667,1,12,81,89
35,18,472.055,10,39,412,423
91,124,1685.01,165,240,1502,1496
109,22,364.8066667,5,43,344,336
991,3,73.78333333,1,5,65,60
363,68,900.7066667,113,196,780,874
887,13,195.9083333,4,16,195,177
452,146,3368.581667,133,318,3055,2983
303,9,60.98666667,6,7,56,60
805,251,7056.31,198,1038,6521,6518
224,271,9038.861667,367,1908,7854,8856
910,2,24.18333333,0,2,26,18
524,128,2168.875,97,326,1967,1902
282,7,90.79833333,3,11,86,94
30,222,7361.771667,145,1039,6462,6805
157,197,5460.718333,166,795,5038,5011
58,224,3758.683333,148,555,3331,3448
239,54,917.655,67,143,849,857
207,84,2049.18,18,158,1895,1973
228,40,577.9633333,20,56,490,497
6,173,2486.398333,248,561,2232,2243
1015,24,274.865,42,56,285,264
884,21,319.8233333,16,36,298,263
135,53,849.2566667,74,108,832,766
870,9,37.46666667,4,8,29,45
31,90,2275.045,65,228,2172,2035
872,101,1941.99,40,311,1732,1744
34,42,578.19,16,56,505,516
72,80,1250.983333,40,82,1099,1107
869,24,495.9433333,14,56,453,454
56,236,5837.92,93,827,5341,5523
216,88,1054.063333,15,78,946,945
304,46,848.6033333,72,156,786,747
996,3,3.816666667,0,0,5,6
987,78,909.9783333,112,164,881,771
185,41,551.1283333,12,59,470,491
99,205,4879.288333,87,532,4559,4485
981,206,4502.713333,326,905,4088,3993
720,8,83.27333333,0,5,75,70
892,24,175.9833333,1,24,168,175
266,2,13.05,1,0,10,12
114,1,3.616666667,0,0,2,2
12,222,3737.281667,359,737,3376,3496
36,187,3951.821667,328,787,3665,3581
505,221,4594.578333,490,1001,4358,4331
111,196,4913.228333,61,492,4632,4488
112,151,3782.875,202,491,3356,3559
277,43,544.9683333,46,108,520,473
90,53,895.6833333,27,88,797,781
101,201,4529.236667,90,401,3982,4117
570,34,298.0366667,3,40,267,256
106,231,7564.103333,170,661,7228,7074
834,177,4254.125,379,748,3922,3739
195,249,6562.871667,114,619,5881,6024
7,184,3295.093333,295,839,2927,3072
1011,1,6.733333333,0,0,12,5
178,22,229.68,5,14,251,191
856,242,5770.578333,455,1127,5135,5060
361,105,2288.848333,27,172,2127,1978
330,2,3.635,0,1,5,2
916,74,676.9816667,54,116,592,593
712,228,4824.928333,255,795,4395,4308
78,225,7036.14,180,623,6669,6437
721,42,478.6016667,12,63,426,431
599,256,5376.335,529,1076,4910,4916
202,168,3760.45,144,501,3530,3344
624,184,2853.875,164,401,2593,2593
206,13,104.66,3,10,92,90
506,194,5663.12,247,841,5075,5020
184,54,1053.59,39,87,993,928
265,118,2544.888333,46,202,2418,2240
896,12,131.975,9,7,132,103
237,206,6265.045,198,999,5953,5742
717,236,7476.528333,798,1950,6471,6906
64,132,2501.408333,169,255,2181,2159
288,117,2494.876667,49,209,2257,2082
108,248,7315.88,933,1120,6763,6848
248,217,5855.353333,80,541,5366,5321
75,229,5269.296667,71,479,4631,4813
914,175,3684.895,55,271,3363,3216
1006,3,79.23333333,2,7,94,64
205,185,6026.673333,114,743,5319,5398
414,234,7981.565,436,1888,7047,7443
44,45,618.13,20,59,553,527
496,4,31.69833333,0,3,33,25
880,4,29.38333333,0,5,34,16
221,76,917.2133333,70,130,833,813
285,34,382.16,9,39,349,348
878,204,4164.345,197,459,3627,3631
444,93,1612.993333,25,108,1546,1438
468,206,4123.636667,74,274,3652,3596
33,171,3961.13,125,441,3660,3649
348,129,1662.286667,20,144,1410,1517
415,61,1009.768333,21,124,956,913
311,107,1400.408333,125,264,1296,1222
967,2,20.21666667,0,1,13,14
301,12,74.71666667,1,13,65,71
142,39,646.9233333,32,80,561,579
273,4,20.16666667,1,2,17,12
272,193,2675.223333,31,228,2346,2553
356,136,3085.818333,54,216,2816,2709
883,11,119.5216667,10,13,101,96
217,1,5.583333333,0,3,7,5
969,3,16.06666667,1,3,16,13
294,15,191.6416667,3,5,181,158
609,191,2638.861667,39,198,2462,2296
424,108,2265.125,89,233,2083,2109
990,1,1.233333333,0,0,1,1
369,133,2581.511667,58,246,2266,2311
954,9,36.795,2,1,29,35
824,11,114.555,9,23,110,95
617,1,0.926666667,0,0,1,0
556,10,65.71,1,8,59,58
591,32,506.5916667,8,34,482,468
163,56,1075.051667,28,129,1054,906
965,5,51.78666667,1,3,49,51
930,1,8.378333333,0,0,12,2
906,10,51.02333333,2,3,59,53
908,174,3053.423333,48,280,2798,2737
393,69,978.5966667,26,98,871,905
233,178,5397.991667,78,578,4794,4723
94,97,1170.105,28,97,1061,1053
287,63,986.8666667,22,101,965,851
3,179,5270.776667,196,599,4964,4783
443,37,545.4716667,13,37,487,450
20,243,6477.865,199,563,6054,5714
868,21,236.5733333,5,30,234,204
976,80,1089.353333,38,110,1000,1038
234,23,228.525,9,21,204,220
284,32,164.7866667,5,10,168,152
899,11,319.3866667,2,22,301,260
854,192,5674.261667,119,383,5141,4995
597,179,4621.33,85,421,4291,4273
102,173,3416.621667,40,312,3178,3082
87,188,5017.33,62,470,4416,4428
158,17,136.7416667,5,11,122,133
567,81,1310.175,148,226,1282,1154
74,30,453.355,13,53,425,387
286,142,2457.703333,93,270,2278,2184
146,53,426.205,6,40,422,366
315,243,6011.368333,208,700,5574,5452
177,190,4672.663333,131,508,4337,4430
639,222,4406.363333,74,413,4086,4056
299,35,318.5183333,34,67,300,302
392,87,1741.736667,23,225,1632,1608
934,200,5691.576667,299,943,5262,5133
188,172,5111.328333,251,487,4792,4611
332,24,228.0516667,3,23,211,194
42,244,7182.875,239,681,6671,6577
797,191,3742.951667,132,616,3290,3408
346,194,3695.995,303,611,3325,3200
1004,62,783.4883333,37,131,673,671
209,158,2563.191667,219,581,2488,2328
818,172,4892.895,357,1107,4707,4434
966,2,6.066666667,0,0,4,5
219,20,98.26,5,11,90,83
989,77,850.3766667,52,116,780,737
1009,75,530.48,49,71,511,494
249,13,84.28,10,12,78,79
390,3,17.3,0,1,15,15
66,242,8641.571667,295,757,7701,7594
937,129,3673.96,177,523,3213,3362
917,119,3727.941667,312,1095,3249,3649
312,9,104.18,3,9,102,87
973,29,329.6116667,39,75,309,313
176,141,2610.371667,56,204,2259,2362
1013,3,12.795,0,1,10,14
637,106,1537.613333,67,196,1438,1384
236,44,400.5933333,42,102,365,342
412,42,545.1716667,15,71,485,507
1005,16,61.98166667,8,9,63,60
594,8,159.65,2,16,162,141
441,157,4255.186667,282,717,3832,3927
1016,1,2.346666667,1,2,1,5
170,218,5306.156667,654,1380,4878,4944
572,100,2838.288333,48,271,2647,2496
889,153,3533.048333,410,865,3384,3302
977,8,53.61833333,2,11,43,46
297,58,676.535,42,100,650,612
338,200,5984.77,503,1444,5314,5300
339,110,3478.923333,184,659,3178,3283
907,4,31.60666667,5,5,25,22
160,82,878.285,6,43,771,782
293,160,4091.946667,105,425,3770,3715
327,2,1.635,0,1,0,2
893,11,91.72833333,13,18,99,70
822,130,2292.528333,63,230,2159,2066
23,121,1760.371667,201,334,1629,1517
73,38,519.525,17,67,445,446
270,198,4630.99,96,396,4336,4065
211,8,29.56666667,2,2,19,18
261,262,6807.991667,72,814,5887,6148
306,7,46.7,0,3,40,52
932,12,120.1533333,5,15,100,110
379,18,85.45,1,9,84,83
408,12,171.165,3,16,154,126
641,2,41.01666667,1,5,24,31
901,201,4194.936667,91,466,3807,3751
819,107,2184.978333,183,379,2041,1962
337,157,3685.863333,73,369,3471,3363
845,161,2867.621667,29,206,2605,2495
905,2,4.826666667,0,0,2,1
489,127,1706.655,71,255,1601,1498
349,23,378.0666667,11,42,368,328
929,187,3612.358333,301,546,3267,3489
436,87,1841.071667,35,142,1650,1618
401,22,198.2016667,3,25,188,180
512,162,3073.815,115,357,2813,2823
904,19,166.8966667,2,12,171,170
993,114,1827.071667,119,264,1650,1697
928,172,5005.215,105,548,4855,4570
345,192,6561.845,568,1656,5664,5838
935,135,2595.103333,252,465,2384,2297
351,121,3367.965,117,491,3023,3073
343,169,3920.681667,306,792,3620,3546
509,184,4326.365,145,552,3935,3863
336,182,3973.596667,152,622,3628,3498
362,175,5839.163333,93,572,5396,5314
353,84,1265.05,16,124,1195,1137
385,189,5389.365,269,1001,4755,4981
952,179,3146.905,122,590,2786,2801
911,156,3331.435,82,467,3115,2978
340,146,2685.073333,54,236,2535,2386
386,135,2732.038333,222,559,2615,2512
397,143,2216.995,251,318,2009,2155
902,65,731.665,9,65,649,663
951,59,860.3883333,71,186,762,779
1007,31,283.7683333,15,59,251,248
1017,14,110.945,12,12,103,103
583,16,72.73833333,7,4,67,62
335,164,3716.455,234,676,3507,3515
334,198,4607.893333,119,644,4327,4163
355,205,3835.686667,66,400,3495,3503
381,2,11.61666667,2,1,8,10
501,37,562.265,4,42,515,509
380,111,1699.751667,102,246,1601,1465
847,8,87.75,1,11,91,80
510,110,1582.22,23,176,1464,1440
1008,31,351.7516667,27,50,332,291
350,151,2304.298333,93,326,2137,2313
420,107,1511.205,199,363,1401,1365
399,162,4988.061667,106,411,4449,4455
601,42,369.22,3,38,344,321
425,68,579.6616667,9,62,548,518
464,95,1466.68,59,124,1429,1326
357,179,4116.458333,387,787,3834,3648
333,164,3000.9,74,435,2802,2706
915,26,358.415,53,105,341,364
391,8,162.8666667,7,28,167,139
577,127,2842.593333,46,474,2540,2667
561,110,2530.813333,54,325,2312,2249
909,11,24.17333333,0,2,16,18
359,118,1701.608333,182,285,1583,1489
498,120,1179.011667,150,298,1048,1112
404,9,131.6,2,13,121,119
463,15,157.5,15,20,142,132
347,112,1253.063333,127,304,1164,1134
630,37,246.47,5,18,222,242
406,1,2.5,0,0,2,0
376,36,575.05,10,46,501,525
940,1,4.233333333,0,0,5,1
481,10,148.285,0,15,144,121
450,68,1221.653333,6,97,1026,1023
626,6,139.7333333,3,14,130,126
913,4,46.74,15,6,71,49
407,24,341.0933333,15,32,371,272
724,11,173.2716667,7,21,170,160
535,122,4192.188333,255,745,3807,3980
447,98,1975.801667,68,325,1824,1824
440,161,4000.911667,321,931,3502,3579
434,37,305.505,4,29,296,271
467,119,2021.848333,39,210,1841,1842
445,118,2265.353333,145,432,2131,2028
479,63,797.4783333,65,161,744,738
435,126,3000.995,49,371,2773,2613
478,34,281.7533333,11,56,269,265
437,150,4089.096667,113,506,3821,3707
449,113,3655.335,81,460,3441,3447
473,14,82.87166667,5,5,82,74
508,13,71.97333333,8,15,77,58
984,66,846.3183333,61,115,725,719
469,71,1314.718333,101,225,1207,1176
488,127,3316.521667,95,366,3090,3116
500,130,1833.721667,111,254,1637,1571
485,107,2171.76,108,409,2020,1991
438,166,4964.775,122,455,4328,4470
430,155,2480.775,303,426,2279,2227
451,136,3524.388333,82,495,3288,3302
579,10,46.7,5,8,49,47
461,2,6.533333333,0,1,8,9
446,65,1339.886667,17,79,1248,1221
459,97,2041.896667,43,326,2034,1809
455,10,48.96666667,7,15,49,50
423,44,662.09,12,49,605,592
427,177,4719.683333,147,658,4324,4378
453,105,1969.251667,67,269,1801,1770
920,12,60.78,6,9,57,57
433,131,3820.23,96,409,3306,3469
490,86,1057.538333,81,268,977,976
458,29,291.5633333,3,33,257,273
432,3,9.05,1,0,12,8
620,9,71.53,3,13,76,64
492,11,81.4,5,14,81,82
943,78,1051.758333,40,104,991,992
953,125,1946.868333,36,158,1755,1794
454,91,899.7616667,15,117,836,820
495,3,31.15,2,7,27,26
931,1,12,0,1,10,10
520,35,411.675,20,61,394,366
448,39,349.7433333,5,31,311,318
518,71,1334.466667,33,107,1222,1162
429,177,4795.93,218,786,4313,4367
515,8,56.33,2,2,48,46
428,47,947.855,19,100,869,962
466,41,624.7433333,28,82,597,551
456,7,18.75,1,1,14,14
586,75,1292.72,19,148,1199,1162
457,115,1950.616667,46,218,1841,1871
580,56,696.645,74,132,634,639
513,3,9.866666667,0,2,8,6
474,123,2661.253333,31,232,2463,2415
706,50,1101.526667,20,165,1038,1026
476,19,154.9283333,1,23,148,152
521,31,339.135,26,44,326,288
1010,11,32.00833333,1,3,21,35
522,34,528.6733333,11,31,478,481
610,57,890.9166667,20,95,839,851
616,8,105.165,7,14,104,99
439,105,1578.933333,81,261,1505,1408
558,49,270.8883333,22,40,277,249
465,113,1924.67,241,468,1814,1933
472,136,3298.626667,191,398,3039,3022
486,148,3469.73,41,331,3122,3201
517,20,207.115,13,40,170,193
460,60,1045.035,19,138,972,941
536,87,1023.848333,17,116,1006,956
516,12,156.925,32,28,152,137
493,9,41.87666667,3,6,39,29
483,13,121.8166667,18,23,117,113
421,30,469.4,23,36,440,435
426,31,281.435,20,41,265,229
549,75,1490.02,23,148,1421,1300
918,144,3102.793333,17,233,2872,2809
502,24,275.8816667,17,29,255,232
585,2,17.16666667,1,3,15,13
604,15,249.11,20,37,241,213
507,1,11.45,2,1,12,10
477,69,1785.626667,62,220,1677,1716
632,3,26.85,4,5,26,24
523,3,26.83333333,0,2,23,34
525,26,139.8283333,5,12,140,131
983,5,54.10833333,0,2,50,52
574,14,160.38,12,20,133,134
482,79,1436.555,96,150,1297,1327
629,67,1163.53,31,151,1049,1020
554,67,1250.026667,26,105,1125,1138
927,2,29.38333333,0,3,33,22
613,13,244.3333333,6,21,216,195
511,89,1867.308333,95,259,1744,1719
588,83,1134.676667,72,160,1011,1054
693,10,47.66666667,1,8,41,42
727,3,45.48333333,6,6,45,50
534,60,1526.45,39,143,1461,1421
553,76,2457.638333,92,386,2365,2405
544,91,2172.2,79,288,2019,2005
545,97,2953.545,47,283,2830,2665
526,139,4542.955,109,756,4158,4248
530,103,1717.373333,27,159,1666,1547
532,71,1818.151667,97,299,1729,1678
539,77,2078.233333,64,195,1979,1915
551,84,1820.436667,35,142,1676,1629
547,89,2731.131667,110,530,2630,2419
541,132,4531.55,86,467,4002,4180
559,82,1991.491667,26,203,1804,1757
557,86,1499.861667,105,242,1335,1404
540,86,2411.078333,254,523,2259,2250
546,113,2176.56,55,239,2039,2025
737,1,3.733333333,0,0,3,4
548,119,2817.416667,113,315,2570,2611
663,49,683.8533333,45,143,627,649
562,133,3200.065,327,696,2941,3087
923,7,24.06666667,4,5,24,27
531,76,671.7,47,98,611,643
533,108,2723.83,229,572,2383,2411
550,94,1820.161667,37,96,1713,1668
578,53,734.8866667,31,140,687,758
660,32,343.9116667,35,67,290,319
584,34,466.045,8,44,429,420
